"Fecha","Hora","RadSol.W.m2","TempAire.C","HumRel.porc","VelViento.m.s","Precipitacion.mm"
2016-01-27,0,0,18.25,91,0,0
2016-01-27,1,0,17.6,93,0.2,0
2016-01-27,2,0,16.9,95,0,0
2016-01-27,3,0,16.55,95.5,0.2,0
2016-01-27,4,0,16.45,96,0,0
2016-01-27,5,0,16.1,97,0,0
2016-01-27,6,6,16.1,97,0,0
2016-01-27,7,118,17.1,95,0,0
2016-01-27,8,355,19.4,87.5,0.2,0
2016-01-27,9,487,21.9,74,0.85,0
2016-01-27,10,759.5,23.95,62,1.3,0
2016-01-27,11,879.5,25.8,50,1.55,0
2016-01-27,12,916.5,27.2,35.5,1.8,0
2016-01-27,13,880,28.1,35,1.8,0
2016-01-27,14,775,28.55,33.5,3.1,0
2016-01-27,15,606,28,41,4,0
2016-01-27,16,385,26.55,50,4.5,0
2016-01-27,17,142.5,24.65,52.5,4.05,0
2016-01-27,18,8.5,22.75,56,4.25,0
2016-01-27,19,0,21.75,59.5,1.55,0
2016-01-27,20,0,20.6,64.5,0.4,0
2016-01-27,21,0,18.9,72,0,0
2016-01-27,22,0,18.45,75,0,0
2016-01-27,23,0,18.6,77.5,0,0
2016-01-28,0,0,17.8,81,0,0
2016-01-28,1,0,16.9,84,0,0
2016-01-28,2,0,16.45,87.5,0,0
2016-01-28,3,0,16.05,90,0,0
2016-01-28,4,0,16.2,91,0,0
2016-01-28,5,0,15.8,93,0,0
2016-01-28,6,4,15.2,94,0,0
2016-01-28,7,68.5,15.9,91,0,0
2016-01-28,8,297,19,84,0.2,0
2016-01-28,9,565.5,21.75,73.5,0.2,0
2016-01-28,10,745,24.05,63.5,1.3,0
2016-01-28,11,540.5,24.55,60,0.9,0
2016-01-28,12,868.5,26.4,51.5,1.8,0
2016-01-28,13,581,26.8,51,2,0
2016-01-28,14,695,27.25,48.5,2.9,0
2016-01-28,15,624,27.2,52,3.8,0
2016-01-28,16,370,26.1,56,4.25,0
2016-01-28,17,148,24.15,60,4.25,0
2016-01-28,18,10.5,22.05,66,3.35,0
2016-01-28,19,0,21.1,69.5,1.55,0
2016-01-28,20,0,21,71.5,0.4,0
2016-01-28,21,0,20.25,75.5,0.65,0
2016-01-28,22,0,19.75,81,0.65,0
2016-01-28,23,0,19.25,86,0.2,0
2016-01-29,0,0,19.05,89,0,0
2016-01-29,1,0,18.85,90.5,0,0
2016-01-29,2,0,18.55,91.5,0,0
2016-01-29,3,0,17.65,93,0,0
2016-01-29,4,0,17.1,94.5,0,0
2016-01-29,5,0,16.8,95.5,0,0
2016-01-29,6,3,16.4,96.5,0,0
2016-01-29,7,87,17.2,95.5,0,0
2016-01-29,8,326.5,20.3,86,0.2,0
2016-01-29,9,361.5,20.85,83.5,1.1,0
2016-01-29,10,367,22.3,80,1.55,0
2016-01-29,11,779.5,25.95,58,1.1,0
2016-01-29,12,927.5,26.8,53,2,0
2016-01-29,13,399,27.3,50,2,0
2016-01-29,14,705.5,27.25,52,3.8,0
2016-01-29,15,608,26.05,60,4.95,0
2016-01-29,16,181,24.05,60.5,6.05,0
2016-01-29,17,107.5,22.4,66,4.95,0
2016-01-29,18,4.5,21.15,72,2.65,0
2016-01-29,19,0,19.95,78.5,0.9,0
2016-01-29,20,0,19.65,82,0.4,0
2016-01-29,21,0,18.95,86,0,0
2016-01-29,22,0,17.9,89,0.2,0
2016-01-29,23,0,17.35,91.5,0,0
2016-01-30,0,0,17.15,93,0.2,0
2016-01-30,1,0,17.2,94.5,0,0
2016-01-30,2,0,16.65,96,0,0
