Fecha;Riego.mm
27/01/2016;3
28/01/2016;0
29/01/2016;3
30/01/2016;0
31/01/2016;3
01/02/2016;0
02/02/2016;3
03/02/2016;0
04/02/2016;3
05/02/2016;0
06/02/2016;3
07/02/2016;0
08/02/2016;3
09/02/2016;0
10/02/2016;3
11/02/2016;0
12/02/2016;3
13/02/2016;0
14/02/2016;3
15/02/2016;0
16/02/2016;3
17/02/2016;0
18/02/2016;3
19/02/2016;0
20/02/2016;3
21/02/2016;0
22/02/2016;3
23/02/2016;0
24/02/2016;3
25/02/2016;0
26/02/2016;3
27/02/2016;0
28/02/2016;3
29/02/2016;0
01/03/2016;3
02/03/2016;0
03/03/2016;3
04/03/2016;0
05/03/2016;3
06/03/2016;0
07/03/2016;3
08/03/2016;0
09/03/2016;3
10/03/2016;0
11/03/2016;3
12/03/2016;0
13/03/2016;3
14/03/2016;0
15/03/2016;3
16/03/2016;0
17/03/2016;3
18/03/2016;0
19/03/2016;3
20/03/2016;0
21/03/2016;3
22/03/2016;0
23/03/2016;3
24/03/2016;0
25/03/2016;3
26/03/2016;0
27/03/2016;3
28/03/2016;0
29/03/2016;3
30/03/2016;0
31/03/2016;3
01/04/2016;0
02/04/2016;3
03/04/2016;0
04/04/2016;3
05/04/2016;0
06/04/2016;3
07/04/2016;0
08/04/2016;3
09/04/2016;0
10/04/2016;3
11/04/2016;0
12/04/2016;3
13/04/2016;0
14/04/2016;3
15/04/2016;0
16/04/2016;3
17/04/2016;0
18/04/2016;3
19/04/2016;0
20/04/2016;3
21/04/2016;0
22/04/2016;3
23/04/2016;0
24/04/2016;3
25/04/2016;0
26/04/2016;3
27/04/2016;0
28/04/2016;3
29/04/2016;0
30/04/2016;3
01/05/2016;0
02/05/2016;3
03/05/2016;0
04/05/2016;3
05/05/2016;0
06/05/2016;3
07/05/2016;0
08/05/2016;3
09/05/2016;0
10/05/2016;3
11/05/2016;0
12/05/2016;3
13/05/2016;0
14/05/2016;3
15/05/2016;0
16/05/2016;3
17/05/2016;0
18/05/2016;3
19/05/2016;0
20/05/2016;3
21/05/2016;0
22/05/2016;3
23/05/2016;0
24/05/2016;3
25/05/2016;0
26/05/2016;3
27/05/2016;0
28/05/2016;3
29/05/2016;0
30/05/2016;3
31/05/2016;0
01/06/2016;3
02/06/2016;0
03/06/2016;3
04/06/2016;0
05/06/2016;3
06/06/2016;0
07/06/2016;3
08/06/2016;0
09/06/2016;3
10/06/2016;0
11/06/2016;3
12/06/2016;0
13/06/2016;3
14/06/2016;0
15/06/2016;3
16/06/2016;0
17/06/2016;3
18/06/2016;0
19/06/2016;3
20/06/2016;0
21/06/2016;3
22/06/2016;0
23/06/2016;3
24/06/2016;0
25/06/2016;3
26/06/2016;0
27/06/2016;3
28/06/2016;0
29/06/2016;3
30/06/2016;0
01/07/2016;3
02/07/2016;0
03/07/2016;3
04/07/2016;0
05/07/2016;3
06/07/2016;0
