"Fecha","Hora","RadSol.W.m2","TempAire.C","HumRel.porc","VelViento.m.s","Precipitacion.mm"
2016-03-28,0,0,14.53333333,95.2,0.85,0
2016-03-28,1,0,14.86666667,92.875,3.1,0
2016-03-28,2,0,15.025,90.23333333,2.2,0
2016-03-28,3,0,15.525,85.29166667,2.2,0
2016-03-28,4,0,15.95,83.50833333,2,0
2016-03-28,5,0,15.96666667,83.31666667,1.8,0
2016-03-28,6,4.9725,15.8,82.2,2,0
2016-03-28,7,55.8675,18.23333333,73.35833333,2,0
2016-03-28,8,236.925,22.725,60.75833333,2.9,0
2016-03-28,9,389.61,26.5,49.66666667,3.6,0
2016-03-28,10,472.68,27.675,44.60833333,2.7,0
2016-03-28,11,565.4025,30.075,38.89166667,2.9,0
2016-03-28,12,533.8125,31.125,38.93333333,2.9,0
2016-03-28,13,609.2775,31.65833333,43.00833333,3.35,0
2016-03-28,14,515.97,31.55,42.86666667,3.35,0
2016-03-28,15,306.54,25.06666667,60.34166667,4,0
2016-03-28,16,88.6275,21.89166667,67.83333333,3.1,0
2016-03-28,17,111.15,20.78333333,70.875,2.45,0
2016-03-28,18,9.6525,18.28333333,80.975,1.3,0
2016-03-28,19,0,17.75833333,85.04166667,1.1,0
2016-03-28,20,0,16.98333333,90.56666667,1.8,0
2016-03-28,21,0,16.10833333,92.16666667,1.55,0
2016-03-28,22,0,15.99166667,93.60833333,1.1,0
2016-03-28,23,0,15.75,94.86666667,0.65,0
2016-03-29,0,0,15.625,95.71666667,0.4,0
2016-03-29,1,0,15.475,95.26666667,0.4,0
2016-03-29,2,0,14.88333333,97.41666667,1.1,0
2016-03-29,3,0,14.85,96.825,1.1,0
2016-03-29,4,0,14.03333333,98.25,1.55,0
2016-03-29,5,0,13.05833333,97.5,1.1,0
2016-03-29,6,7.3125,13.875,96.54166667,0.9,0
2016-03-29,7,100.3275,17.36666667,85.59166667,2.9,0
2016-03-29,8,97.11,18.325,82.39166667,2.45,0
2016-03-29,9,294.84,25.05,59.89166667,2.45,0
2016-03-29,10,489.9375,27.75,46.525,2.9,0
2016-03-29,11,415.35,29.35,41.88333333,2.45,0
2016-03-29,12,326.1375,27.30833333,43.05833333,2.45,0
2016-03-29,13,189.8325,27.59166667,43.10833333,2.7,0
2016-03-29,14,457.47,30.5,38.425,2.2,0
2016-03-29,15,159.4125,23.925,58.93333333,2.7,0
2016-03-29,16,73.4175,20.40833333,75.91666667,2,0
2016-03-29,17,83.655,20.45,72.575,1.3,0
2016-03-29,18,16.0875,18.4,86.2,0.4,0
2016-03-29,19,0,17.225,91.325,0.9,0
2016-03-29,20,0,17.01666667,91.075,0.4,0
2016-03-29,21,0,16.44166667,92.14166667,0.65,0
2016-03-29,22,0,16.08333333,88.55833333,1.1,0
2016-03-29,23,0,16.075,88.64166667,1.1,0
2016-03-30,0,0,15.24166667,94,0.65,0
2016-03-30,1,0,14.81666667,96.33333333,0.4,0
2016-03-30,2,0,14.83333333,97.18333333,0.65,0
