"Fecha","Hora","RadSol.W.m2","TempAire.C","HumRel.porc","VelViento.m.s","Precipitacion.mm"
2016-01-28,0,0,12.15,73,1.8,0
2016-01-28,1,0,11.75,70.5,1.8,0
2016-01-28,2,0,11,69,1.1,0
2016-01-28,3,0,9.95,69.5,1.55,0
2016-01-28,4,0,9.65,72,1.55,0
2016-01-28,5,0,10,71,1.55,0
2016-01-28,6,2.0825,11.6,65,2.9,0
2016-01-28,7,81.515,13.9,59,3.6,0
2016-01-28,8,237.405,16.65,51,3.6,0
2016-01-28,9,382.2875,20,39.5,2.45,0
2016-01-28,10,489.9825,22.15,37,2.7,0
2016-01-28,11,555.4325,22.65,42.5,3.35,0
2016-01-28,12,593.215,23.25,43,3.35,0
2016-01-28,13,576.2575,23.85,43,3.35,0
2016-01-28,14,507.2375,24.1,46,3.6,0
2016-01-28,15,415.905,22.35,59,4,0
2016-01-28,16,258.5275,20.85,66,3.1,0
2016-01-28,17,98.77,19.35,73,2.7,0
2016-01-28,18,5.355,17.85,78.5,1.75,0
2016-01-28,19,0,17,83,0.9,0
2016-01-28,20,0,16.45,87,0.9,0
2016-01-28,21,0,16.15,88,0.65,0
2016-01-28,22,0,15.9,90.5,0.65,0
2016-01-28,23,0,15.5,91,1.1,0
2016-01-29,0,0,14.85,92.5,1.3,0
2016-01-29,1,0,14.25,94.5,0.65,0
2016-01-29,2,0,13.8,94,0.9,0
2016-01-29,3,0,12.25,90,1.1,0
2016-01-29,4,0,12.4,89.5,1.55,0
2016-01-29,5,0,11.15,91,1.1,0
2016-01-29,6,2.0825,10.85,91.5,1.3,0
2016-01-29,7,42.245,12.75,91.5,1.1,0
2016-01-29,8,127.0325,15.55,84.5,1.8,0
2016-01-29,9,362.355,18.5,68,1.55,0
2016-01-29,10,502.4775,20.85,56,2,0
2016-01-29,11,565.845,21.5,59.5,3.15,0
2016-01-29,12,587.265,22.1,58,3.6,0
2016-01-29,13,566.7375,22.85,51.5,3.8,0
2016-01-29,14,497.42,22.95,49.5,3.8,0
2016-01-29,15,402.815,22.2,51.5,3.8,0
2016-01-29,16,208.5475,20.1,59.5,3.8,0
2016-01-29,17,71.6975,18.05,71,3.55,0
2016-01-29,18,7.735,16.7,79.5,2.45,0
