"Fecha","Hora","RadSol.W.m2","TempAire.C","HumRel.porc","VelViento.m.s","Precipitacion.mm"
2016-01-27,0,0,19.8,91,0.4,9.14
2016-01-27,1,0,19.1,92.5,0.4,5.85
2016-01-27,2,0,18.45,94,0.4,0
2016-01-27,3,0,18.1,94.5,0.4,0.25
2016-01-27,4,0,17.75,95,0.4,1.27
2016-01-27,5,0,17.7,95,0.65,1.52
2016-01-27,6,3,17.5,95,0.65,0.76
2016-01-27,7,63.5,17.9,94.5,0.65,0
2016-01-27,8,205.5,19.95,86,1.1,0
2016-01-27,9,573,23.7,68.5,0.9,0
2016-01-27,10,769.5,26.85,54.5,0.9,0
2016-01-27,11,882,28.8,52,1.1,0
2016-01-27,12,930.5,30.6,43.5,1.1,0
2016-01-27,13,897.5,31.95,34,1.1,0
2016-01-27,14,800,33.35,28.5,1.1,0
2016-01-27,15,628,33.15,33.5,1.55,0
2016-01-27,16,403.5,31.55,40,1.8,0
2016-01-27,17,121,29.05,45,1.3,0
2016-01-27,18,7.5,27.25,50,0.9,0
2016-01-27,19,0,25.2,61,0.4,0
2016-01-27,20,0,22.45,74,0.65,0
2016-01-27,21,0,20.7,81,0.4,0
2016-01-27,22,0,19.7,86,0.9,0
2016-01-27,23,0,19.05,84.5,0.9,0
2016-01-28,0,0,18.4,87,0.65,0
2016-01-28,1,0,17.85,89.5,0.65,0
2016-01-28,2,0,17.2,91.5,0.9,0
2016-01-28,3,0,16.9,92.5,0.9,0
2016-01-28,4,0,16.45,93,0.9,0
2016-01-28,5,0,16.25,93,0.9,0
2016-01-28,6,2.5,16.35,92.5,0.9,0
2016-01-28,7,49.5,16.75,91.5,0.9,0
2016-01-28,8,192.5,19.05,84.5,1.1,0
2016-01-28,9,527,23.25,70,0.9,0
2016-01-28,10,738.5,27.45,58,0.4,0
2016-01-28,11,876,30,45.5,0.65,0
2016-01-28,12,944.5,31.5,39,1.3,0
2016-01-28,13,824,32.2,34.5,0.9,0
2016-01-28,14,825.5,32.55,38,1.8,0
2016-01-28,15,561,32.65,38,1.3,0
2016-01-28,16,381,31.3,41.5,1.8,0
2016-01-28,17,121.5,29,47,1.3,0
2016-01-28,18,9.5,26.95,52.5,0.65,0
2016-01-28,19,0,26.05,56,0.65,0
2016-01-28,20,0,24.4,68,0,0
